isolate_id,Country,Species,Host,Collection_Date,n_accessions,segments_present,n_segments,has_L,has_M,has_S,complete_records,segment_pattern
Angola | ACCESSION_EU312125,Angola,Phlebovirus riftense,Homo sapiens,1985,1,S,1,FALSE,FALSE,TRUE,1,S only
Angola | BJ01,Angola,Phlebovirus riftense,Homo sapiens,2016-07-22,3,"L,M,S",3,TRUE,TRUE,TRUE,3,L+M+S
Angola | SPU204/85,Angola,Phlebovirus riftense,Homo sapiens,1985,1,M,1,FALSE,TRUE,FALSE,0,M only
Botswana | BOT_BOV/2014/1894_S3,Botswana,Phlebovirus riftense,Bos taurus,2014,2,"L,M",2,TRUE,TRUE,FALSE,0,L+M
Botswana | BOT_CAP/2017/2928_S5,Botswana,Phlebovirus riftense,Capra hircus,2017,2,"L,M",2,TRUE,TRUE,FALSE,0,L+M
Botswana | BOT_CAP/2018/1327_S6,Botswana,Phlebovirus riftense,Capra hircus,2018,3,"L,M,S",3,TRUE,TRUE,TRUE,0,L+M+S
Botswana | BOT_CAP/2020/2112_S4,Botswana,Phlebovirus riftense,Capra hircus,2020,3,"L,M,S",3,TRUE,TRUE,TRUE,0,L+M+S
Burkina Faso | ACCESSION_DQ375399,Burkina Faso,Phlebovirus riftense,Aedes cumminsii,1983,1,L,1,TRUE,FALSE,FALSE,1,L only
Burkina Faso | ACCESSION_DQ380181,Burkina Faso,Phlebovirus riftense,Aedes cumminsii,1983,1,S,1,FALSE,FALSE,TRUE,1,S only
Burkina Faso | ACCESSION_DQ380187,Burkina Faso,Phlebovirus riftense,Aedes cumminsii,1983,1,M,1,FALSE,TRUE,FALSE,1,M only
Burkina Faso | ACCESSION_EU312116,Burkina Faso,Phlebovirus riftense,Aedes cumminsii,1983,1,S,1,FALSE,FALSE,TRUE,1,S only
Burundi | BDI0002,Burundi,Phlebovirus riftense,Bos taurus,2022-05-17,2,"L,M",2,TRUE,TRUE,FALSE,0,L+M
Burundi | BDI0003,Burundi,Phlebovirus riftense,Bos taurus,2022-05-17,2,"L,M",2,TRUE,TRUE,FALSE,0,L+M
Burundi | BDI0005,Burundi,Phlebovirus riftense,Bos taurus,2022-05-19,1,M,1,FALSE,TRUE,FALSE,0,M only
Burundi | BDI0006,Burundi,Phlebovirus riftense,Bos taurus,2022-05-19,2,"L,M",2,TRUE,TRUE,FALSE,0,L+M
Burundi | BDI0007,Burundi,Phlebovirus riftense,Bos taurus,2022-05-19,2,"L,M",2,TRUE,TRUE,FALSE,0,L+M
Burundi | BDI0008,Burundi,Phlebovirus riftense,Bos taurus,2022-05-19,2,"L,M",2,TRUE,TRUE,FALSE,0,L+M
Burundi | BDI0009,Burundi,Phlebovirus riftense,Bos taurus,2022-05-18,1,M,1,FALSE,TRUE,FALSE,0,M only
Central African Republic | 74HB59,Central African Republic,Phlebovirus riftense,Homo sapiens,1974,1,M,1,FALSE,TRUE,FALSE,0,M only
Central African Republic | ACCESSION_DQ375415,Central African Republic,Phlebovirus riftense,unknown_host,1974,1,L,1,TRUE,FALSE,FALSE,1,L only
Central African Republic | ACCESSION_DQ375416,Central African Republic,Phlebovirus riftense,unknown_host,1974,1,L,1,TRUE,FALSE,FALSE,1,L only
Central African Republic | ACCESSION_DQ375417,Central African Republic,Phlebovirus riftense,unknown_host,1974,1,L,1,TRUE,FALSE,FALSE,1,L only
Central African Republic | ACCESSION_DQ375419,Central African Republic,Phlebovirus riftense,unknown_host,1969,1,L,1,TRUE,FALSE,FALSE,1,L only
Central African Republic | ACCESSION_DQ375422,Central African Republic,Phlebovirus riftense,unknown_host,1985,1,L,1,TRUE,FALSE,FALSE,1,L only
Central African Republic | ACCESSION_DQ375423,Central African Republic,Phlebovirus riftense,unknown_host,1985,1,L,1,TRUE,FALSE,FALSE,1,L only
Central African Republic | ACCESSION_DQ375425,Central African Republic,Phlebovirus riftense,unknown_host,1973,1,L,1,TRUE,FALSE,FALSE,1,L only
Central African Republic | ACCESSION_DQ380160,Central African Republic,Phlebovirus riftense,Homo sapiens,1985,1,S,1,FALSE,FALSE,TRUE,1,S only
Central African Republic | ACCESSION_DQ380161,Central African Republic,Phlebovirus riftense,Homo sapiens,1985,1,S,1,FALSE,FALSE,TRUE,1,S only
Central African Republic | ACCESSION_DQ380162,Central African Republic,Phlebovirus riftense,Homo sapiens,1973,1,S,1,FALSE,FALSE,TRUE,1,S only
Central African Republic | ACCESSION_DQ380163,Central African Republic,Phlebovirus riftense,Homo sapiens,1974,1,S,1,FALSE,FALSE,TRUE,1,S only
Central African Republic | ACCESSION_DQ380167,Central African Republic,Phlebovirus riftense,Mansonia africana,1969,1,S,1,FALSE,FALSE,TRUE,1,S only
Central African Republic | ACCESSION_DQ380172,Central African Republic,Phlebovirus riftense,Homo sapiens,1973,1,S,1,FALSE,FALSE,TRUE,1,S only
Central African Republic | ACCESSION_DQ380182,Central African Republic,Phlebovirus riftense,unknown_host,1974,1,S,1,FALSE,FALSE,TRUE,1,S only
Central African Republic | ACCESSION_DQ380211,Central African Republic,Phlebovirus riftense,Homo sapiens,1973,1,M,1,FALSE,TRUE,FALSE,1,M only
Central African Republic | ACCESSION_DQ380212,Central African Republic,Phlebovirus riftense,Homo sapiens,1974,1,M,1,FALSE,TRUE,FALSE,1,M only
Central African Republic | ACCESSION_DQ380217,Central African Republic,Phlebovirus riftense,Mansonia africana,1969,1,M,1,FALSE,TRUE,FALSE,1,M only
