isolate_key,country_clean,isolate_clean,n_segment_records,segments_present,has_L,has_M,has_S,complete_L,complete_M,complete_S,has_all_three_segments,has_complete_LMS,segment_pattern
Angola | ACCESSION_EU312125,Angola,ACCESSION_EU312125,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Angola | BJ01,Angola,BJ01,3,L+M+S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,L+M+S
Angola | SPU204/85,Angola,SPU204/85,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Botswana | BOT_BOV/2014/1894_S3,Botswana,BOT_BOV/2014/1894_S3,2,L+M,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L+M
Botswana | BOT_CAP/2017/2928_S5,Botswana,BOT_CAP/2017/2928_S5,2,L+M,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L+M
Botswana | BOT_CAP/2018/1327_S6,Botswana,BOT_CAP/2018/1327_S6,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Botswana | BOT_CAP/2020/2112_S4,Botswana,BOT_CAP/2020/2112_S4,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Burkina Faso | ACCESSION_DQ375399,Burkina Faso,ACCESSION_DQ375399,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Burkina Faso | ACCESSION_DQ380181,Burkina Faso,ACCESSION_DQ380181,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Burkina Faso | ACCESSION_DQ380187,Burkina Faso,ACCESSION_DQ380187,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Burkina Faso | ACCESSION_EU312116,Burkina Faso,ACCESSION_EU312116,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Burundi | BDI0002,Burundi,BDI0002,2,L+M,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L+M
Burundi | BDI0003,Burundi,BDI0003,2,L+M,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L+M
Burundi | BDI0005,Burundi,BDI0005,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Burundi | BDI0006,Burundi,BDI0006,2,L+M,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L+M
Burundi | BDI0007,Burundi,BDI0007,2,L+M,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L+M
Burundi | BDI0008,Burundi,BDI0008,2,L+M,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L+M
Burundi | BDI0009,Burundi,BDI0009,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Central African Republic | 74HB59,Central African Republic,74HB59,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Central African Republic | ACCESSION_DQ375415,Central African Republic,ACCESSION_DQ375415,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Central African Republic | ACCESSION_DQ375416,Central African Republic,ACCESSION_DQ375416,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Central African Republic | ACCESSION_DQ375417,Central African Republic,ACCESSION_DQ375417,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Central African Republic | ACCESSION_DQ375419,Central African Republic,ACCESSION_DQ375419,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Central African Republic | ACCESSION_DQ375422,Central African Republic,ACCESSION_DQ375422,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Central African Republic | ACCESSION_DQ375423,Central African Republic,ACCESSION_DQ375423,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Central African Republic | ACCESSION_DQ375425,Central African Republic,ACCESSION_DQ375425,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Central African Republic | ACCESSION_DQ380160,Central African Republic,ACCESSION_DQ380160,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Central African Republic | ACCESSION_DQ380161,Central African Republic,ACCESSION_DQ380161,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Central African Republic | ACCESSION_DQ380162,Central African Republic,ACCESSION_DQ380162,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Central African Republic | ACCESSION_DQ380163,Central African Republic,ACCESSION_DQ380163,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Central African Republic | ACCESSION_DQ380167,Central African Republic,ACCESSION_DQ380167,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Central African Republic | ACCESSION_DQ380172,Central African Republic,ACCESSION_DQ380172,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Central African Republic | ACCESSION_DQ380182,Central African Republic,ACCESSION_DQ380182,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Central African Republic | ACCESSION_DQ380211,Central African Republic,ACCESSION_DQ380211,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Central African Republic | ACCESSION_DQ380212,Central African Republic,ACCESSION_DQ380212,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Central African Republic | ACCESSION_DQ380217,Central African Republic,ACCESSION_DQ380217,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Central African Republic | ACCESSION_DQ380218,Central African Republic,ACCESSION_DQ380218,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
