Accession,Organism_Name,Species,Isolate,Segment,Length,Nuc_Completeness,Country,Host,Collection_Date,isolate_clean,country_clean,isolate_key
EU312125,Rift Valley fever virus,Phlebovirus riftense,NA,S,1691,complete,Angola,Homo sapiens,1985,ACCESSION_EU312125,Angola,Angola | ACCESSION_EU312125
KX632066,Rift Valley fever virus,Phlebovirus riftense,BJ01,L,6402,complete,Angola,Homo sapiens,2016-07-22,BJ01,Angola,Angola | BJ01
KX632067,Rift Valley fever virus,Phlebovirus riftense,BJ01,M,3872,complete,Angola,Homo sapiens,2016-07-22,BJ01,Angola,Angola | BJ01
KX632068,Rift Valley fever virus,Phlebovirus riftense,BJ01,S,1686,complete,Angola,Homo sapiens,2016-07-22,BJ01,Angola,Angola | BJ01
HM587076,Rift Valley fever virus,Phlebovirus riftense,SPU204/85,M,490,partial,Angola,Homo sapiens,1985,SPU204/85,Angola,Angola | SPU204/85
PV231439,Rift Valley fever virus,Phlebovirus riftense,BOT_BOV/2014/1894_S3,L,1071,partial,Botswana,Bos taurus,2014,BOT_BOV/2014/1894_S3,Botswana,Botswana | BOT_BOV/2014/1894_S3
PV231435,Rift Valley fever virus,Phlebovirus riftense,BOT_BOV/2014/1894_S3,M,3096,partial,Botswana,Bos taurus,2014,BOT_BOV/2014/1894_S3,Botswana,Botswana | BOT_BOV/2014/1894_S3
PV231441,Rift Valley fever virus,Phlebovirus riftense,BOT_CAP/2017/2928_S5,L,1071,partial,Botswana,Capra hircus,2017,BOT_CAP/2017/2928_S5,Botswana,Botswana | BOT_CAP/2017/2928_S5
PV231437,Rift Valley fever virus,Phlebovirus riftense,BOT_CAP/2017/2928_S5,M,3096,partial,Botswana,Capra hircus,2017,BOT_CAP/2017/2928_S5,Botswana,Botswana | BOT_CAP/2017/2928_S5
PV231438,Rift Valley fever virus,Phlebovirus riftense,BOT_CAP/2018/1327_S6,L,6404,partial,Botswana,Capra hircus,2018,BOT_CAP/2018/1327_S6,Botswana,Botswana | BOT_CAP/2018/1327_S6
PV231434,Rift Valley fever virus,Phlebovirus riftense,BOT_CAP/2018/1327_S6,M,3885,partial,Botswana,Capra hircus,2018,BOT_CAP/2018/1327_S6,Botswana,Botswana | BOT_CAP/2018/1327_S6
PV231433,Rift Valley fever virus,Phlebovirus riftense,BOT_CAP/2018/1327_S6,S,1690,partial,Botswana,Capra hircus,2018,BOT_CAP/2018/1327_S6,Botswana,Botswana | BOT_CAP/2018/1327_S6
PV231440,Rift Valley fever virus,Phlebovirus riftense,BOT_CAP/2020/2112_S4,L,1071,partial,Botswana,Capra hircus,2020,BOT_CAP/2020/2112_S4,Botswana,Botswana | BOT_CAP/2020/2112_S4
PV231436,Rift Valley fever virus,Phlebovirus riftense,BOT_CAP/2020/2112_S4,M,3096,partial,Botswana,Capra hircus,2020,BOT_CAP/2020/2112_S4,Botswana,Botswana | BOT_CAP/2020/2112_S4
PV231432,Rift Valley fever virus,Phlebovirus riftense,BOT_CAP/2020/2112_S4,S,1690,partial,Botswana,Capra hircus,2020,BOT_CAP/2020/2112_S4,Botswana,Botswana | BOT_CAP/2020/2112_S4
DQ375399,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Burkina Faso,Aedes cumminsii,1983,ACCESSION_DQ375399,Burkina Faso,Burkina Faso | ACCESSION_DQ375399
DQ380181,Rift Valley fever virus,Phlebovirus riftense,NA,S,1691,complete,Burkina Faso,Aedes cumminsii,1983,ACCESSION_DQ380181,Burkina Faso,Burkina Faso | ACCESSION_DQ380181
DQ380187,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Burkina Faso,Aedes cumminsii,1983,ACCESSION_DQ380187,Burkina Faso,Burkina Faso | ACCESSION_DQ380187
EU312116,Rift Valley fever virus,Phlebovirus riftense,NA,S,1692,complete,Burkina Faso,Aedes cumminsii,1983,ACCESSION_EU312116,Burkina Faso,Burkina Faso | ACCESSION_EU312116
OR780625,Rift Valley fever virus,Phlebovirus riftense,BDI0002,L,5924,partial,Burundi,Bos taurus,2022-05-17,BDI0002,Burundi,Burundi | BDI0002
OR780618,Rift Valley fever virus,Phlebovirus riftense,BDI0002,M,3513,partial,Burundi,Bos taurus,2022-05-17,BDI0002,Burundi,Burundi | BDI0002
OR780626,Rift Valley fever virus,Phlebovirus riftense,BDI0003,L,6232,partial,Burundi,Bos taurus,2022-05-17,BDI0003,Burundi,Burundi | BDI0003
OR780619,Rift Valley fever virus,Phlebovirus riftense,BDI0003,M,3571,partial,Burundi,Bos taurus,2022-05-17,BDI0003,Burundi,Burundi | BDI0003
OR780620,Rift Valley fever virus,Phlebovirus riftense,BDI0005,M,3559,partial,Burundi,Bos taurus,2022-05-19,BDI0005,Burundi,Burundi | BDI0005
OR780627,Rift Valley fever virus,Phlebovirus riftense,BDI0006,L,5924,partial,Burundi,Bos taurus,2022-05-19,BDI0006,Burundi,Burundi | BDI0006
OR780621,Rift Valley fever virus,Phlebovirus riftense,BDI0006,M,3571,partial,Burundi,Bos taurus,2022-05-19,BDI0006,Burundi,Burundi | BDI0006
OR780628,Rift Valley fever virus,Phlebovirus riftense,BDI0007,L,5924,partial,Burundi,Bos taurus,2022-05-19,BDI0007,Burundi,Burundi | BDI0007
OR780622,Rift Valley fever virus,Phlebovirus riftense,BDI0007,M,3567,partial,Burundi,Bos taurus,2022-05-19,BDI0007,Burundi,Burundi | BDI0007
OR780629,Rift Valley fever virus,Phlebovirus riftense,BDI0008,L,5924,partial,Burundi,Bos taurus,2022-05-19,BDI0008,Burundi,Burundi | BDI0008
OR780623,Rift Valley fever virus,Phlebovirus riftense,BDI0008,M,3568,partial,Burundi,Bos taurus,2022-05-19,BDI0008,Burundi,Burundi | BDI0008
OR780624,Rift Valley fever virus,Phlebovirus riftense,BDI0009,M,3558,partial,Burundi,Bos taurus,2022-05-18,BDI0009,Burundi,Burundi | BDI0009
HM587082,Rift Valley fever virus,Phlebovirus riftense,74HB59,M,490,partial,Central African Republic,Homo sapiens,1974,74HB59,Central African Republic,Central African Republic | 74HB59
DQ375415,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Central African Republic,NA,1974,ACCESSION_DQ375415,Central African Republic,Central African Republic | ACCESSION_DQ375415
DQ375416,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Central African Republic,NA,1974,ACCESSION_DQ375416,Central African Republic,Central African Republic | ACCESSION_DQ375416
DQ375417,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Central African Republic,NA,1974,ACCESSION_DQ375417,Central African Republic,Central African Republic | ACCESSION_DQ375417
DQ375419,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Central African Republic,NA,1969,ACCESSION_DQ375419,Central African Republic,Central African Republic | ACCESSION_DQ375419
DQ375422,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Central African Republic,NA,1985,ACCESSION_DQ375422,Central African Republic,Central African Republic | ACCESSION_DQ375422
DQ375423,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Central African Republic,NA,1985,ACCESSION_DQ375423,Central African Republic,Central African Republic | ACCESSION_DQ375423
DQ375425,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Central African Republic,NA,1973,ACCESSION_DQ375425,Central African Republic,Central African Republic | ACCESSION_DQ375425
DQ380160,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Central African Republic,Homo sapiens,1985,ACCESSION_DQ380160,Central African Republic,Central African Republic | ACCESSION_DQ380160
