Accession,Organism_Name,Species,Isolate,Segment,Length,Nuc_Completeness,Country,Host,Collection_Date,metadata_score,isolate_clean,country_clean,isolate_key,completeness_rank,length_rank,records_per_isolate_segment
MG659812,Rift Valley fever virus,Phlebovirus riftense,B314,M,3885,complete,Kenya,Bos taurus,1962,5,B314,Kenya,Kenya | B314,3,3885,2
HM587105,Rift Valley fever virus,Phlebovirus riftense,B314,M,490,partial,Kenya,Bos taurus,1962,5,B314,Kenya,Kenya | B314,2,490,2
MG659813,Rift Valley fever virus,Phlebovirus riftense,S35,M,3885,complete,Kenya,Ovis aries,1972,5,S35,Kenya,Kenya | S35,3,3885,2
HM587045,Rift Valley fever virus,Phlebovirus riftense,S35,M,490,partial,Kenya,Ovis aries,1972,5,S35,Kenya,Kenya | S35,2,490,2
HQ009512,Rift Valley fever virus,Phlebovirus riftense,M48/08,M,3885,complete,Madagascar,Bos taurus,2008,5,M48/08,Madagascar,Madagascar | M48/08,3,3885,2
KX944843,Rift Valley fever virus,Phlebovirus riftense,M48/08,M,3885,partial,Madagascar,Bos taurus,2008,5,M48/08,Madagascar,Madagascar | M48/08,2,3885,2
OK392020,Rift Valley fever virus,Phlebovirus riftense,2018/MRT,S,821,partial,Mauritania,Culicidae,2018,5,2018/MRT,Mauritania,Mauritania | 2018/MRT,2,821,2
OK415590,Rift Valley fever virus,Phlebovirus riftense,2018/MRT,S,773,partial,Mauritania,Culicidae,2018,5,2018/MRT,Mauritania,Mauritania | 2018/MRT,2,773,2
MT561460,Rift Valley fever virus,Phlebovirus riftense,Namibia_2010,M,3885,partial,Namibia,Ovis aries,2010-07-30,5,Namibia_2010,Namibia,Namibia | Namibia_2010,2,3885,2
KC935380,Rift Valley fever virus,Phlebovirus riftense,Namibia_2010,M,490,partial,Namibia,Ovis aries,2010-07-30,5,Namibia_2010,Namibia,Namibia | Namibia_2010,2,490,2
KY126703,Rift Valley fever virus,Phlebovirus riftense,SPU77/04,M,3885,complete,Namibia,Homo sapiens,2004,5,SPU77/04,Namibia,Namibia | SPU77/04,3,3885,2
HM587100,Rift Valley fever virus,Phlebovirus riftense,SPU77/04,M,490,partial,Namibia,Homo sapiens,2004,5,SPU77/04,Namibia,Namibia | SPU77/04,2,490,2
