Accession,Organism_Name,Species,Isolate,Segment,Length,Nuc_Completeness,Country,Host,Collection_Date
NC_014395,Rift Valley fever virus,Phlebovirus riftense,,S,1690,complete,Egypt,Homo sapiens,1977
NC_014396,Rift Valley fever virus,Phlebovirus riftense,,M,3885,complete,Egypt,Homo sapiens,1977
NC_014397,Rift Valley fever virus,Phlebovirus riftense,,L,6404,complete,Egypt,,1977
PX580508,Rift Valley fever virus,Phlebovirus riftense,,S,1556,complete,Chad,Homo sapiens,2001
PX580509,Rift Valley fever virus,Phlebovirus riftense,CHA01,M,3827,partial,Chad,Homo sapiens,2001
PX580510,Rift Valley fever virus,Phlebovirus riftense,CHA01,L,6352,partial,Chad,Homo sapiens,2001
PV562141,Rift Valley fever virus,Phlebovirus riftense,Lantana,S,1681,complete,Uganda,Bos taurus,2022-06-01
PV562142,Rift Valley fever virus,Phlebovirus riftense,TF47,S,1681,complete,Uganda,Bos taurus,2019-07-18
PV562143,Rift Valley fever virus,Phlebovirus riftense,194,S,1682,complete,Uganda,Bos taurus,2022-06-01
PV562144,Rift Valley fever virus,Phlebovirus riftense,123,S,1680,complete,Uganda,Bos taurus,2022-05-29
PV562145,Rift Valley fever virus,Phlebovirus riftense,NAK/1/31,S,1681,complete,Uganda,Bos taurus,2021-01-29
PV562146,Rift Valley fever virus,Phlebovirus riftense,NAK/1/40,S,1681,complete,Uganda,Bos taurus,2021-01-20
PV562147,Rift Valley fever virus,Phlebovirus riftense,NAK/1/40,L,6395,complete,Uganda,Bos taurus,2021-01-20
PV849477,Rift Valley fever virus,Phlebovirus riftense,"2023000300/Homo sapiens/Kabale, Uganda/2023",,5850,partial,Uganda,Homo sapiens,2023
PV849478,Rift Valley fever virus,Phlebovirus riftense,"2023000300/Homo sapiens/Kabale, Uganda/2023",,3404,partial,Uganda,Homo sapiens,2023
PV849479,Rift Valley fever virus,Phlebovirus riftense,"2023000300/Homo sapiens/Kabale, Uganda/2023",,1553,partial,Uganda,Homo sapiens,2023
PV849480,Rift Valley fever virus,Phlebovirus riftense,"2023000301/Homo sapiens/Rubanda, Uganda/2023",,6305,partial,Uganda,Homo sapiens,2023
PV849481,Rift Valley fever virus,Phlebovirus riftense,"2023000301/Homo sapiens/Rubanda, Uganda/2023",,3807,partial,Uganda,Homo sapiens,2023
PV849482,Rift Valley fever virus,Phlebovirus riftense,"2023000301/Homo sapiens/Rubanda, Uganda/2023",,1581,partial,Uganda,Homo sapiens,2023
PV849483,Rift Valley fever virus,Phlebovirus riftense,"2023000304/Homo sapiens/Rubanda, Uganda/2023",,6239,partial,Uganda,Homo sapiens,2023
PV849484,Rift Valley fever virus,Phlebovirus riftense,"2023000304/Homo sapiens/Rubanda, Uganda/2023",,3762,partial,Uganda,Homo sapiens,2023
PV849485,Rift Valley fever virus,Phlebovirus riftense,"2023000304/Homo sapiens/Rubanda, Uganda/2023",,1589,partial,Uganda,Homo sapiens,2023
PV849486,Rift Valley fever virus,Phlebovirus riftense,"2023000445/Homo sapiens/Mbarara city, Uganda/04-Feb-2023",,5135,partial,Uganda,Homo sapiens,2023-02-04
PV849487,Rift Valley fever virus,Phlebovirus riftense,"2023000445/Homo sapiens/Mbarara city, Uganda/04-Feb-2023",,3404,partial,Uganda,Homo sapiens,2023-02-04
PV849488,Rift Valley fever virus,Phlebovirus riftense,"2023000445/Homo sapiens/Mbarara city, Uganda/04-Feb-2023",,1275,partial,Uganda,Homo sapiens,2023-02-04
PV849489,Rift Valley fever virus,Phlebovirus riftense,"2023000532/Homo sapiens/Isingiro, Uganda/2023",,5850,partial,Uganda,Homo sapiens,2023
PV849490,Rift Valley fever virus,Phlebovirus riftense,"2023000532/Homo sapiens/Isingiro, Uganda/2023",,3404,partial,Uganda,Homo sapiens,2023
PV849491,Rift Valley fever virus,Phlebovirus riftense,"2023000532/Homo sapiens/Isingiro, Uganda/2023",,1275,partial,Uganda,Homo sapiens,2023
PV849492,Rift Valley fever virus,Phlebovirus riftense,"2023000571/Homo sapiens/Mbarara, Uganda/13-Feb-2023",,3404,partial,Uganda,Homo sapiens,2023-02-13
PV849493,Rift Valley fever virus,Phlebovirus riftense,"2023000571/Homo sapiens/Mbarara, Uganda/13-Feb-2023",,1275,partial,Uganda,Homo sapiens,2023-02-13
PV849494,Rift Valley fever virus,Phlebovirus riftense,"2023000639/Homo sapiens/Mbarara, Uganda/20-Feb-2023",,5430,partial,Uganda,Homo sapiens,2023-02-20
PV849495,Rift Valley fever virus,Phlebovirus riftense,"2023000639/Homo sapiens/Mbarara, Uganda/20-Feb-2023",,3404,partial,Uganda,Homo sapiens,2023-02-20
PV849496,Rift Valley fever virus,Phlebovirus riftense,"2023000639/Homo sapiens/Mbarara, Uganda/20-Feb-2023",,1275,partial,Uganda,Homo sapiens,2023-02-20
PV849497,Rift Valley fever virus,Phlebovirus riftense,"2023000670/Homo sapiens/Mbarara, Uganda/2023",,5850,partial,Uganda,Homo sapiens,2023
PV849498,Rift Valley fever virus,Phlebovirus riftense,"2023000670/Homo sapiens/Mbarara, Uganda/2023",,3404,partial,Uganda,Homo sapiens,2023
PV849499,Rift Valley fever virus,Phlebovirus riftense,"2023000670/Homo sapiens/Mbarara, Uganda/2023",,1275,partial,Uganda,Homo sapiens,2023
PV849500,Rift Valley fever virus,Phlebovirus riftense,"2023000676/Homo sapiens/Mbarara, Uganda/23-Feb-2023",,1275,partial,Uganda,Homo sapiens,2023-02-23
PV849501,Rift Valley fever virus,Phlebovirus riftense,"2023000677/Homo sapiens/Mbarara, Uganda/23-Feb-2023",,3012,partial,Uganda,Homo sapiens,2023-02-23
PV849502,Rift Valley fever virus,Phlebovirus riftense,"2023000677/Homo sapiens/Mbarara, Uganda/23-Feb-2023",,1275,partial,Uganda,Homo sapiens,2023-02-23
PV849503,Rift Valley fever virus,Phlebovirus riftense,"2023000699/Bos taurus/Mbarara, Uganda/2023",,3404,partial,Uganda,Bos taurus,2023
PV849504,Rift Valley fever virus,Phlebovirus riftense,"2023000699/Bos taurus/Mbarara, Uganda/2023",,1275,partial,Uganda,Bos taurus,2023
PV849505,Rift Valley fever virus,Phlebovirus riftense,"2023000700/Bos taurus/Mbarara, Uganda/22-Feb-2023",,5850,partial,Uganda,Bos taurus,2023-02-22
PV849506,Rift Valley fever virus,Phlebovirus riftense,"2023000700/Bos taurus/Mbarara, Uganda/22-Feb-2023",,3404,partial,Uganda,Bos taurus,2023-02-22
PV849507,Rift Valley fever virus,Phlebovirus riftense,"2023000700/Bos taurus/Mbarara, Uganda/22-Feb-2023",,1275,partial,Uganda,Bos taurus,2023-02-22
PV849508,Rift Valley fever virus,Phlebovirus riftense,"2023000702/Bos taurus/Mbarara, Uganda/22-Feb-2023",,3404,partial,Uganda,Bos taurus,2023-02-22
PV849509,Rift Valley fever virus,Phlebovirus riftense,"2023000702/Bos taurus/Mbarara, Uganda/22-Feb-2023",,1275,partial,Uganda,Bos taurus,2023-02-22
PV849510,Rift Valley fever virus,Phlebovirus riftense,"2023000703/Bos taurus/Mbarara, Uganda/22-Feb-2023",,5431,partial,Uganda,Bos taurus,2023-02-22
PV849511,Rift Valley fever virus,Phlebovirus riftense,"2023000703/Bos taurus/Mbarara, Uganda/22-Feb-2023",,3404,partial,Uganda,Bos taurus,2023-02-22
PV849512,Rift Valley fever virus,Phlebovirus riftense,"2023000703/Bos taurus/Mbarara, Uganda/22-Feb-2023",,1275,partial,Uganda,Bos taurus,2023-02-22
PV849513,Rift Valley fever virus,Phlebovirus riftense,"2023000792/Homo sapiens/Mbarara, Uganda/06-Mar-2023",,5850,partial,Uganda,Homo sapiens,2023-03-06
PV849514,Rift Valley fever virus,Phlebovirus riftense,"2023000792/Homo sapiens/Mbarara, Uganda/06-Mar-2023",,3404,partial,Uganda,Homo sapiens,2023-03-06
PV849515,Rift Valley fever virus,Phlebovirus riftense,"2023000792/Homo sapiens/Mbarara, Uganda/06-Mar-2023",,1275,partial,Uganda,Homo sapiens,2023-03-06
PV849516,Rift Valley fever virus,Phlebovirus riftense,"2023000795/Homo sapiens/Mbarara, Uganda/06-Mar-2023",,5850,partial,Uganda,Homo sapiens,2023-03-06
PV849517,Rift Valley fever virus,Phlebovirus riftense,"2023000795/Homo sapiens/Mbarara, Uganda/06-Mar-2023",,3404,partial,Uganda,Homo sapiens,2023-03-06
PV849518,Rift Valley fever virus,Phlebovirus riftense,"2023000795/Homo sapiens/Mbarara, Uganda/06-Mar-2023",,1275,partial,Uganda,Homo sapiens,2023-03-06
PV849519,Rift Valley fever virus,Phlebovirus riftense,"2023000807/Homo sapiens/Mbarara, Uganda/08-Mar-2023",,5850,partial,Uganda,Homo sapiens,2023-03-08
PV849520,Rift Valley fever virus,Phlebovirus riftense,"2023000807/Homo sapiens/Mbarara, Uganda/08-Mar-2023",,3404,partial,Uganda,Homo sapiens,2023-03-08
PV849521,Rift Valley fever virus,Phlebovirus riftense,"2023000807/Homo sapiens/Mbarara, Uganda/08-Mar-2023",,1275,partial,Uganda,Homo sapiens,2023-03-08
PV849522,Rift Valley fever virus,Phlebovirus riftense,"2023000812/Homo sapiens/Mbarara, Uganda/07-Mar-2023",,5431,partial,Uganda,Homo sapiens,2023-03-07
PV849523,Rift Valley fever virus,Phlebovirus riftense,"2023000812/Homo sapiens/Mbarara, Uganda/07-Mar-2023",,2903,partial,Uganda,Homo sapiens,2023-03-07
PV849524,Rift Valley fever virus,Phlebovirus riftense,"2023000822/Homo sapiens/Mbarara, Uganda/07-Mar-2023",,5850,partial,Uganda,Homo sapiens,2023-03-07
PV849525,Rift Valley fever virus,Phlebovirus riftense,"2023000822/Homo sapiens/Mbarara, Uganda/07-Mar-2023",,3404,partial,Uganda,Homo sapiens,2023-03-07
PV849526,Rift Valley fever virus,Phlebovirus riftense,"2023000822/Homo sapiens/Mbarara, Uganda/07-Mar-2023",,1275,partial,Uganda,Homo sapiens,2023-03-07
PV849527,Rift Valley fever virus,Phlebovirus riftense,"2023000828/Homo sapiens/Mbarara, Uganda/07-Mar-2023",,5901,partial,Uganda,Homo sapiens,2023-03-07
PV849528,Rift Valley fever virus,Phlebovirus riftense,"2023000828/Homo sapiens/Mbarara, Uganda/07-Mar-2023",,3404,partial,Uganda,Homo sapiens,2023-03-07
PV849529,Rift Valley fever virus,Phlebovirus riftense,"2023000828/Homo sapiens/Mbarara, Uganda/07-Mar-2023",,1275,partial,Uganda,Homo sapiens,2023-03-07
PV849530,Rift Valley fever virus,Phlebovirus riftense,"2023000837/Homo sapiens/Mbarara, Uganda/08-Mar-2023",,1275,partial,Uganda,Homo sapiens,2023-03-08
PV849531,Rift Valley fever virus,Phlebovirus riftense,"2023001515/Homo sapiens/Mbarara, Uganda/02-Mar-2023",,6303,partial,Uganda,Homo sapiens,2023-03-02
PV849532,Rift Valley fever virus,Phlebovirus riftense,"2023001515/Homo sapiens/Mbarara, Uganda/02-Mar-2023",,3815,partial,Uganda,Homo sapiens,2023-03-02
PV849533,Rift Valley fever virus,Phlebovirus riftense,"2023001515/Homo sapiens/Mbarara, Uganda/02-Mar-2023",,1581,partial,Uganda,Homo sapiens,2023-03-02
PV849534,Rift Valley fever virus,Phlebovirus riftense,"2023001561/Homo sapiens/Kiruhura, Uganda/15-Mar-2023",,6350,partial,Uganda,Homo sapiens,2023-03-15
PV849535,Rift Valley fever virus,Phlebovirus riftense,"2023001561/Homo sapiens/Kiruhura, Uganda/15-Mar-2023",,3803,partial,Uganda,Homo sapiens,2023-03-15
PV849536,Rift Valley fever virus,Phlebovirus riftense,"2023001561/Homo sapiens/Kiruhura, Uganda/15-Mar-2023",,1581,partial,Uganda,Homo sapiens,2023-03-15
PV231432,Rift Valley fever virus,Phlebovirus riftense,BOT_CAP/2020/2112_S4,S,1690,partial,Botswana,Capra hircus,2020
PV231433,Rift Valley fever virus,Phlebovirus riftense,BOT_CAP/2018/1327_S6,S,1690,partial,Botswana,Capra hircus,2018
PV231434,Rift Valley fever virus,Phlebovirus riftense,BOT_CAP/2018/1327_S6,M,3885,partial,Botswana,Capra hircus,2018
PV231435,Rift Valley fever virus,Phlebovirus riftense,BOT_BOV/2014/1894_S3,M,3096,partial,Botswana,Bos taurus,2014
PV231436,Rift Valley fever virus,Phlebovirus riftense,BOT_CAP/2020/2112_S4,M,3096,partial,Botswana,Capra hircus,2020
PV231437,Rift Valley fever virus,Phlebovirus riftense,BOT_CAP/2017/2928_S5,M,3096,partial,Botswana,Capra hircus,2017
PV231438,Rift Valley fever virus,Phlebovirus riftense,BOT_CAP/2018/1327_S6,L,6404,partial,Botswana,Capra hircus,2018
PV231439,Rift Valley fever virus,Phlebovirus riftense,BOT_BOV/2014/1894_S3,L,1071,partial,Botswana,Bos taurus,2014
PV231440,Rift Valley fever virus,Phlebovirus riftense,BOT_CAP/2020/2112_S4,L,1071,partial,Botswana,Capra hircus,2020
PV231441,Rift Valley fever virus,Phlebovirus riftense,BOT_CAP/2017/2928_S5,L,1071,partial,Botswana,Capra hircus,2017
PQ753146,Rift Valley fever virus,Phlebovirus riftense,RW003,L,494,partial,Rwanda,Anopheles ziemanni,2022-04-26
